iter	Passed	Remaining
0	58	58594
1	59	29722
2	60	20154
3	61	15239
4	61	12304
5	62	10372
6	63	9017
7	64	8041
8	66	7307
9	67	6635
10	67	6093
11	68	5636
12	69	5263
13	70	4940
14	71	4708
15	73	4499
16	73	4271
17	74	4082
18	76	3937
19	76	3769
20	77	3613
21	78	3470
22	82	3519
23	83	3394
24	84	3276
25	84	3171
26	85	3079
27	86	2986
28	86	2910
29	87	2829
30	88	2752
31	89	2693
32	89	2629
33	90	2566
34	90	2506
35	91	2451
36	92	2415
37	93	2376
38	95	2354
39	96	2309
40	96	2265
41	97	2225
42	98	2197
43	102	2216
44	102	2181
45	103	2146
46	104	2117
47	105	2083
48	106	2070
49	109	2075
50	109	2044
51	111	2025
52	128	2304
53	129	2274
54	134	2302
55	134	2275
56	137	2279
57	138	2252
58	139	2219
59	143	2249
60	144	2230
61	147	2227
62	149	2221
63	150	2200
64	151	2180
65	152	2152
66	153	2138
67	154	2116
68	155	2100
69	156	2078
70	159	2088
71	160	2075
72	162	2060
73	163	2041
74	163	2021
75	173	2107
76	174	2086
77	174	2064
78	179	2096
79	180	2079
80	191	2171
81	198	2219
82	198	2192
83	199	2172
84	200	2154
85	200	2134
86	201	2113
87	202	2093
88	202	2073
89	203	2054
90	203	2034
91	204	2017
92	207	2019
93	207	2002
94	208	1983
95	209	1969
96	209	1952
97	211	1942
98	212	1932
99	216	1952
100	217	1936
101	218	1921
102	218	1904
103	224	1935
104	225	1920
105	226	1907
106	226	1891
107	227	1878
108	228	1863
109	229	1855
110	229	1841
111	230	1826
112	230	1812
113	231	1799
114	232	1786
115	234	1787
116	236	1783
117	236	1770
118	237	1757
119	237	1744
120	238	1732
121	238	1719
122	240	1713
123	240	1701
124	241	1691
125	242	1681
126	242	1668
127	243	1659
128	244	1649
129	245	1639
130	248	1645
131	248	1635
132	249	1627
133	251	1626
134	252	1618
135	253	1608
136	253	1598
137	254	1588
138	254	1578
139	255	1570
140	257	1565
141	257	1555
142	257	1545
143	258	1536
144	258	1526
145	259	1518
146	260	1513
147	261	1508
148	262	1499
149	263	1492
150	264	1484
151	264	1476
152	265	1468
153	266	1462
154	266	1455
155	267	1447
156	271	1456
157	271	1449
158	272	1440
159	273	1434
160	276	1439
161	276	1431
162	277	1424
163	278	1417
164	278	1411
165	279	1405
166	281	1404
167	282	1396
168	282	1389
169	283	1382
170	283	1375
171	284	1369
172	285	1365
173	286	1359
174	286	1352
175	287	1347
176	289	1344
177	290	1340
178	291	1336
179	292	1330
180	292	1323
181	293	1317
182	293	1311
183	294	1304
184	295	1303
185	298	1306
186	299	1300
187	300	1298
188	304	1307
189	305	1301
190	305	1294
191	308	1297
192	310	1297
193	310	1292
194	311	1285
195	312	1280
196	312	1274
197	313	1270
198	314	1264
199	314	1259
200	315	1255
201	316	1250
202	317	1244
203	317	1239
204	318	1233
205	319	1229
206	319	1224
207	320	1219
208	321	1216
209	321	1211
210	323	1208
211	323	1204
212	325	1201
213	326	1199
214	327	1194
215	328	1191
216	328	1186
217	329	1181
218	331	1183
219	332	1179
220	333	1176
221	334	1171
222	334	1166
223	335	1162
224	336	1158
225	348	1194
226	349	1191
227	351	1188
228	352	1186
229	353	1182
230	354	1179
231	354	1174
232	355	1170
233	355	1164
234	356	1159
235	356	1154
236	357	1149
237	357	1145
238	358	1141
239	359	1138
240	360	1136
241	361	1133
242	362	1129
243	363	1126
244	372	1146
245	372	1141
246	373	1137
247	373	1133
248	374	1128
249	374	1123
250	375	1119
251	375	1114
252	376	1110
253	377	1108
254	378	1105
255	379	1103
256	380	1100
257	382	1098
258	382	1094
259	383	1090
260	383	1086
261	384	1083
262	385	1079
263	385	1075
264	386	1071
265	386	1067
266	387	1063
267	388	1060
268	389	1057
269	389	1054
270	391	1052
271	392	1049
272	393	1047
273	394	1044
274	395	1041
275	396	1040
276	397	1037
277	398	1035
278	401	1037
279	401	1033
280	402	1030
281	403	1028
282	404	1024
283	404	1020
284	405	1017
285	406	1015
286	407	1012
287	408	1011
288	411	1011
289	412	1010
290	413	1008
291	414	1004
292	415	1002
293	416	1000
294	417	996
295	417	993
296	418	990
297	418	986
298	419	984
299	420	981
300	422	980
301	422	977
302	424	976
303	425	973
304	425	970
305	426	967
306	427	964
307	428	961
308	428	958
309	430	957
310	430	954
311	431	951
312	431	947
313	432	944
314	433	942
315	434	939
316	434	936
317	435	933
318	436	931
319	438	930
320	439	928
321	439	926
322	440	923
323	441	920
324	442	918
325	442	915
326	445	916
327	446	914
328	446	911
329	447	908
330	447	905
331	448	902
332	449	899
333	450	897
334	450	894
335	451	891
336	451	888
337	452	885
338	452	882
339	453	880
340	457	884
341	458	881
342	459	879
343	459	877
344	460	874
345	461	871
346	461	869
347	463	867
348	464	866
349	465	864
350	465	861
351	466	859
352	467	856
353	468	854
354	468	851
355	469	849
356	469	846
357	473	849
358	474	847
359	475	844
360	475	842
361	476	840
362	477	837
363	478	835
364	479	833
365	479	831
366	480	829
367	481	826
368	481	824
369	482	821
370	483	819
371	483	816
372	485	816
373	486	814
374	487	812
375	487	809
376	488	807
377	489	804
378	489	802
379	490	800
380	490	797
381	492	797
382	493	795
383	494	793
384	495	790
385	496	790
386	497	787
387	497	785
388	499	784
389	499	781
390	500	779
391	501	777
392	501	775
393	502	773
394	503	770
395	503	768
396	504	766
397	505	763
398	505	761
399	506	759
400	507	757
401	507	755
402	508	753
403	509	751
404	509	748
405	510	746
406	511	745
407	512	744
408	513	742
409	514	740
410	515	738
411	516	736
412	517	735
413	517	732
414	520	733
415	521	731
416	526	735
417	527	734
418	531	737
419	532	735
420	534	734
421	534	732
422	540	737
423	542	736
424	546	739
425	548	738
426	548	736
427	549	734
428	550	732
429	554	735
430	560	739
431	560	737
432	561	734
433	561	732
434	562	730
435	563	728
436	567	730
437	567	728
438	568	726
439	569	724
440	573	727
441	579	732
442	580	729
443	580	727
444	585	729
445	586	728
446	586	725
447	588	724
448	588	722
449	589	720
450	590	718
451	591	716
452	591	714
453	592	712
454	593	710
455	594	709
456	595	707
457	598	708
458	599	706
459	600	704
460	600	702
461	601	700
462	602	698
463	603	697
464	604	695
465	605	694
466	606	692
467	607	690
468	608	688
469	610	688
470	610	686
471	611	684
472	614	684
473	614	682
474	615	679
475	615	677
476	616	675
477	617	673
478	617	671
479	618	669
480	619	667
481	619	666
482	620	664
483	621	662
484	621	660
485	622	658
486	622	656
487	624	655
488	626	654
489	626	652
490	627	650
491	627	648
492	628	646
493	629	644
494	636	649
495	638	648
496	642	650
497	643	648
498	644	647
499	645	645
500	646	643
501	646	641
502	647	639
503	647	637
504	648	635
505	650	634
506	650	632
507	651	630
508	651	628
509	652	626
510	653	625
511	655	624
512	656	623
513	657	621
514	657	619
515	658	617
516	658	615
517	659	613
518	660	611
519	660	609
520	663	609
521	663	607
522	664	606
523	665	604
524	665	602
525	666	600
526	670	601
527	670	599
528	671	597
529	671	595
530	673	595
531	674	593
532	675	591
533	675	589
534	676	588
535	677	586
536	678	584
537	680	584
538	680	582
539	681	580
540	682	578
541	683	577
542	684	576
543	685	574
544	687	573
545	687	571
546	688	570
547	689	569
548	693	569
549	693	567
550	694	565
551	695	564
552	699	565
553	699	563
554	700	561
555	700	559
556	701	557
557	702	556
558	703	555
559	704	553
560	705	551
561	705	550
562	706	548
563	706	546
564	707	544
565	708	543
566	709	541
567	709	539
568	710	538
569	711	536
570	713	535
571	714	534
572	714	532
573	715	531
574	721	533
575	722	531
576	722	529
577	723	528
578	723	526
579	724	524
580	728	525
581	729	524
582	730	522
583	731	520
584	731	518
585	732	517
586	733	515
587	733	514
588	734	512
589	734	510
590	735	508
591	736	507
592	737	505
593	739	505
594	739	503
595	740	501
596	740	500
597	741	498
598	742	496
599	743	495
600	744	493
601	744	492
602	746	491
603	746	489
604	747	487
605	748	486
606	749	484
607	749	483
608	750	481
609	750	480
610	754	480
611	754	478
612	755	476
613	756	475
614	756	473
615	757	472
616	758	470
617	758	469
618	759	467
619	760	466
620	761	464
621	762	463
622	762	461
623	763	459
624	763	458
625	764	456
626	764	455
627	765	453
628	766	452
629	767	450
630	768	449
631	768	447
632	769	446
633	770	444
634	771	443
635	772	442
636	773	440
637	774	439
638	775	438
639	776	436
640	777	435
641	777	433
642	778	432
643	779	430
644	779	429
645	780	427
646	780	426
647	781	424
648	782	423
649	783	421
650	784	420
651	784	418
652	785	417
653	786	415
654	786	414
655	787	412
656	788	411
657	789	410
658	790	408
659	790	407
660	792	406
661	792	404
662	793	403
663	794	402
664	795	400
665	795	399
666	796	397
667	797	396
668	798	394
669	799	393
670	800	392
671	801	391
672	801	389
673	802	388
674	803	386
675	803	385
676	804	383
677	804	382
678	805	380
679	806	379
680	807	378
681	807	376
682	808	375
683	810	374
684	810	372
685	811	371
686	812	370
687	812	368
688	813	367
689	814	365
690	815	364
691	815	363
692	816	361
693	817	360
694	818	359
